521220,HALLOWEEN,none,33,DVD,2000,2,1,9,3,4,0,0,43,1,013131089691,021010p20001978miu090evlengd,c2000.,"""""","""Compass International ; Falcon International Productions ; produced by Debra Hill ; directed by John Carpenter ; screenplay by John Carpenter and Debra Hill.""","""""","""""",""""""
521261,FOOTLOOSE,none,33,DVD,2002,1,1,10,3,8,0,1,44,10,097360158984,030411p20021984cau107gvlengd,c2002.,"""""","""Paramount Pictures ; produced by Lewis J. Rachmil, Craig Zadan ; written by Dean Pitchford ; directed by Herbert Ross.""","""""","""""",""""""
521261,FOOTLOOSE,none,33,DVD,2002,1,1,10,3,8,0,1,44,10,097360534160,030411p20021984cau107gvlengd,c2002.,"""""","""Paramount Pictures ; produced by Lewis J. Rachmil, Craig Zadan ; written by Dean Pitchford ; directed by Herbert Ross.""","""""","""""",""""""
521261,FOOTLOOSE,none,33,DVD,2002,1,1,10,3,8,0,1,44,10,097361456560,030411p20021984cau107gvlengd,c2002.,"""""","""Paramount Pictures ; produced by Lewis J. Rachmil, Craig Zadan ; written by Dean Pitchford ; directed by Herbert Ross.""","""""","""""",""""""
521261,FOOTLOOSE,none,33,DVD,2002,1,1,10,3,8,0,1,44,10,097361379661,030411p20021984cau107gvlengd,c2002.,"""""","""Paramount Pictures ; produced by Lewis J. Rachmil, Craig Zadan ; written by Dean Pitchford ; directed by Herbert Ross.""","""""","""""",""""""
522726,WE WERE SOLDIERS,none,33,DVD,2002,1,1,11,7,17,0,2,44,14,097363400264,020821s2002cau138evlengd,c2002.,"""Widescreen DVD collection""","""Paramount Pictures and Icon Productions present an Icon/Wheelhouse Entertainment production ; a Randall Wallace film ; producers, Bruce Davey, Stephen McEveety, Randall Wallace ; written for the screen and directed by Randall Wallace.""","""""","""""",""""""
523189,WHOS AFRAID OF VIRGINIA WOOLF,none,33,DVD,2006,1,1,13,8,7,0,0,44,8,085391192695,070201p20061966cau131gvlengd,c2006.,"""""","""Warner Bros. presents ; directed by Mike Nichols ; screenplay by Ernest Lehman.""","""""","""""",""""""
524319,INTO THE BLUE,none,33,DVD,1997,1,1,9,5,10,0,0,40,3,625712521195,080710s1997onc104gvlengd,1997.,"""""","""a Carlton Television and WGBH/Boston in association with Triumph Proscenium Productions ; ITV Productions ; Granada International Media ; directed by Jack Gold.""","""""","""""",""""""
524486,O,none,33,DVD,2001,1,1,10,5,11,0,0,39,3,057373157305,031022s2001xxua94gdvlengd,c2001.,"""""","""directed by Tim Blake Nelson ; screenplay by Brad Kaaya ; produced by Eric Gitter, Daniel L. Fried, Anthony Rhulen ; a Chickie the Cop production in association with Daniel Fried Productions and Rhulen Entertainment ; Miramax Film Corp.""","""""","""""",""""""
524787,STRANGERS,none,33,DVD,2008,1,1,10,6,12,0,0,43,7,065935816133,081017s2008cau086gvlengd,c2008.,"""""","""Rogue Pictures and Intrepid Pictures presents Vertigo Entertainment/Mandate Pictures production ; produced by Doug Davison, Roy Lee, Nathan Kahane ; written and directed by Bryan Bertino.""","""""","""""",""""""
